cng_(Feet),DISTANCE_FROM_MOUTH,ELEVATION,ADJUSTED_ELEVATION,LONGITUDE,LATITUDE
640,56154.14340,430.97,430.14,-82.123878,33.472579
644,56150.14340,431.03,430.08,-82.123865,33.472579
648,56146.14340,431.10,430.02,-82.123852,33.472579
652,56142.14340,430.76,429.95,-82.123839,33.472579
656,56138.14340,430.34,429.89,-82.12383,33.472587
660,56134.14340,430.34,429.83,-82.12382,33.472586
664,56130.14340,430.40,429.77,-82.12381,33.472579
668,56126.14340,430.39,429.70,-82.123797,33.472579
672,56122.14340,430.39,429.64,-82.123785,33.472581
676,56118.14340,429.58,429.58,-82.123776,33.472589
680,56114.14340,429.75,429.58,-82.123763,33.47259
684,56110.14340,429.69,429.55,-82.12375,33.47259
688,56106.14340,429.53,429.53,-82.123737,33.47259
692,56102.14340,429.09,429.09,-82.123724,33.47259
696,56098.14340,428.93,428.93,-82.123711,33.47259
700,56094.14340,428.67,428.67,-82.123698,33.47259
704,56090.14340,428.78,428.67,-82.123688,33.472596
708,56086.14340,428.78,428.64,-82.123677,33.472601
712,56082.14340,428.78,428.60,-82.123664,33.472601
716,56078.14340,428.57,428.57,-82.123651,33.472601
720,56074.14340,428.43,428.43,-82.123638,33.472601
724,56070.14340,428.29,428.29,-82.123625,33.472601
728,56066.14340,428.38,428.29,-82.123611,33.472601
732,56062.14340,428.09,428.09,-82.123598,33.472601
736,56058.14340,427.94,427.94,-82.123585,33.472601
740,56054.14340,427.80,427.80,-82.123573,33.472604
744,56050.14340,427.80,427.80,-82.123564,33.472612
748,56046.14340,427.82,427.80,-82.123555,33.47262
752,56042.14340,427.82,427.45,-82.123546,33.472627
756,56038.14340,427.11,427.11,-82.123537,33.472636
760,56034.14340,426.68,426.68,-82.123536,33.472645
764,56030.14340,426.61,426.61,-82.123523,33.472646
768,56026.14340,426.19,426.19,-82.123514,33.472654
772,56022.14340,426.19,426.19,-82.123505,33.472662
776,56018.14340,426.19,426.19,-82.123494,33.472667
780,56014.14340,426.22,426.19,-82.123481,33.472667
784,56010.14340,426.21,425.71,-82.123469,33.472669
788,56006.14340,425.24,425.24,-82.12346,33.472677
792,56002.14340,425.93,425.24,-82.123459,33.472688
796,55998.14340,425.93,425.21,-82.123451,33.472696
800,55994.14340,425.93,425.18,-82.123441,33.472704
804,55990.14340,426.13,425.15,-82.123432,33.472711
808,55986.14340,425.60,425.12,-82.123419,33.472711
812,55982.14340,425.45,425.09,-82.123406,33.472711
816,55978.14340,425.55,425.06,-82.123393,33.472711
820,55974.14340,425.55,425.03,-82.123383,33.472719
824,55970.14340,425.30,425.00,-82.123372,33.472722
828,55966.14340,425.30,424.97,-82.123361,33.472727
832,55962.14340,424.94,424.94,-82.123351,33.472733
836,55958.14340,425.05,424.94,-82.123338,33.472733
840,55954.14340,425.05,424.92,-82.123326,33.472735
844,55950.14340,425.03,424.89,-82.123316,33.472743
848,55946.14340,424.87,424.87,-82.123304,33.472744
852,55942.14340,424.87,424.87,-82.123294,33.47275
856,55938.14340,424.87,424.87,-82.123288,33.472759
860,55934.14340,424.73,424.73,-82.123292,33.472769
864,55930.14340,424.61,424.61,-82.123301,33.472777
868,55926.14340,423.38,423.38,-82.123301,33.472788
872,55922.14340,423.35,423.35,-82.123288,33.472788
876,55918.14340,423.32,423.32,-82.123275,33.472788
880,55914.14340,423.32,423.32,-82.123275,33.472799
884,55910.14340,422.61,422.61,-82.123275,33.47281
888,55906.14340,422.05,422.05,-82.123266,33.472818
892,55902.14340,421.55,421.55,-82.123255,33.472821
896,55898.14340,421.99,421.55,-82.123241,33.472821
900,55894.14340,421.99,421.55,-82.12323,33.472825
904,55890.14340,421.64,421.54,-82.123221,33.472832
908,55886.14340,421.64,421.54,-82.123208,33.472833
912,55882.14340,421.89,421.53,-82.123199,33.472841
916,55878.14340,422.12,421.53,-82.12319,33.472849
920,55874.14340,422.12,421.53,-82.123183,33.472857
924,55870.14340,421.82,421.52,-82.123183,33.472868
928,55866.14340,421.52,421.52,-82.123183,33.472879
932,55862.14340,421.29,421.29,-82.123183,33.47289
936,55858.14340,421.29,421.29,-82.12318,33.4729
940,55854.14340,420.95,420.95,-82.123171,33.472908
944,55850.14340,420.61,420.61,-82.123162,33.472916
948,55846.14340,420.61,420.61,-82.123152,33.472924
952,55842.14340,420.24,420.24,-82.123143,33.472931
956,55838.14340,420.11,420.11,-82.123134,33.472939
960,55834.14340,420.11,420.11,-82.123125,33.472947
964,55830.14340,419.91,419.91,-82.123115,33.472955
968,55826.14340,419.46,419.46,-82.123106,33.472963
